price,test
"$4,126,870","2,2.5,2,965,sqft,2,965 square feet,7,831,sqft lot,7,831 square foot lot"
"$4,035,409","2,2.5,2,952,sqft,2,952 square feet,7,847,sqft lot,7,847 square foot lot"
"$949,900","2,2.5,1,706,sqft,1,706 square feet,1,706,sqft lot,1,706 square foot lot"
"$899,000","3,2,1,994,sqft,1,994 square feet,6,890,sqft lot,6,890 square foot lot"
"$1,690,000","5,3,4,274,sqft,4,274 square feet,9,410,sqft lot,9,410 square foot lot"
"$487,990","4,3,2,274,sqft,2,274 square feet"
"$385,990","3,2,1,764,sqft,1,764 square feet"
"$719,000","3,2,2,064,sqft,2,064 square feet,0.45,acre lot,0.45 acre lot"
"$542,990","3,2.5,2,296,sqft,2,296 square feet"
"$404,990","4,3,1,943,sqft,1,943 square feet"
"$386,990","3,2,1,760,sqft,1,760 square feet"
"$635,000","4,2,1,852,sqft,1,852 square feet,8,227,sqft lot,8,227 square foot lot"
"$419,990","3,2,1,764,sqft,1,764 square feet"
"$354,990","3,2,1,400,sqft,1,400 square feet"
